nation,Value of Starting 11,Fifa Ranking,year
Russia,855,66,2018
Brazil,933,2,2018
Iran,778,36,2018
Japan,839,60,2018
Mexico,863,15,2018
Belgium,948,3,2018
South Korea,827,61,2018
Saudi Arabia,801,70,2018
Germany,945,1,2018
England,909,13,2018
Spain,958,8,2018
Nigeria,833,47,2018
Costa Rica,826,25,2018
Poland,869,10,2018
Egypt,795,46,2018
Iceland,789,22,2018
Serbia,882,35,2018
Portugal,905,4,2018
France,926,7,2018
Uruguay,879,17,2018
Argentina,919,5,2018
Colombia,870,16,2018
Panama,726,55,2018
Senegal,865,28,2018
Morocco,861,42,2018
Tunisia,808,14,2018
Switzerland,865,6,2018
Croatia,911,18,2018
Sweden,833,23,2018
Denmark,845,12,2018
Australia,810,26,2018
Peru,802,11,2018
 South Africa,,85,2010
 Japan,,40,2010
 Australia,,24,2010
 South Korea,,48,2010
 Netherlands,,3,2010
 North Korea,,91,2010
 Brazil,,1,2010
 Ghana,,38,2010
 England,,7,2010
 Spain,,2,2010
 Paraguay,,21,2010
 Ivory Coast,,19,2010
 Germany,,5,2010
 Denmark,,27,2010
 Serbia,,20,2010
 Italy,,4,2010
 Chile,,17,2010
 Mexico,,18,2010
 United States,,11,2010
  Switzerland,,13,2010
 Slovakia,,33,2010
 Argentina,,6,2010
 Honduras,,35,2010
 New Zealand,,83,2010
 Nigeria,,32,2010
 Cameroon,,14,2010
 Algeria,,29,2010
 Greece,,16,2010
 Slovenia,,49,2010
 Portugal,,10,2010
 France,,9,2010
 Uruguay,,25,2010
 Brazil,,11,2014
 Japan,,44,2014
 Australia,,57,2014
 Iran,,49,2014
 South Korea,,56,2014
 Netherlands,,8,2014
 Italy,,9,2014
 Costa Rica,,31,2014
 United States,,13,2014
 Argentina,,3,2014
 Belgium,,5,2014
  Switzerland,,7,2014
 Germany,,2,2014
 Colombia,,4,2014
 Bosnia and Herzegovina,,16,2014
 Russia,,19,2014
 England,,10,2014
 Spain,,1,2014
 Chile,,12,2014
 Ecuador,,22,2014
 Honduras,,34,2014
 Nigeria,,33,2014
 Ivory Coast,,17,2014
 Cameroon,,59,2014
 Ghana,,23,2014
 Algeria,,32,2014
 Greece,,15,2014
 Croatia,,18,2014
 Portugal,,14,2014
 France,,21,2014
 Mexico,,24,2014
 Uruguay,,6,2014
